LoksabhaName,VidhansabhaName,LocalUnitName,LocalUnitType
Dausa,Bandikui,LILOJ,Gram Panchayat
Dausa,Bandikui,MUHI,Gram Panchayat
Dausa,Bandikui,NARAYANPURA,Gram Panchayat
Dausa,Bandikui,PANDITPURA,Gram Panchayat
Dausa,Bandikui,PARLA,Gram Panchayat
Dausa,Bandikui,ALIPUR,Gram Panchayat
Dausa,Bandikui,BAIJUPARA,Gram Panchayat
Dausa,Bandikui,BALAHERA,Gram Panchayat
Dausa,Bandikui,BAVADI KHEDA,Gram Panchayat
Dausa,Bandikui,BEDHADI MEENAN,Gram Panchayat
Dausa,Bandikui,BHANDEDA,Gram Panchayat
Dausa,Bandikui,DHIGARIYABHIM,Gram Panchayat
Dausa,Bandikui,GOLARA,Gram Panchayat
Dausa,Bandikui,HINGOTA,Gram Panchayat
Dausa,Bandikui,LOTWARA,Gram Panchayat
Dausa,Bandikui,MAUKHURD,Gram Panchayat
Dausa,Bandikui,MEENA PARA,Gram Panchayat
Dausa,Bandikui,NIHALPURA,Gram Panchayat
Dausa,Bandikui,PUNDARPARA,Gram Panchayat
Dausa,Bandikui,1,Ward
Dausa,Bandikui,2,Ward
Dausa,Bandikui,3,Ward
Dausa,Bandikui,4,Ward
Dausa,Bandikui,5,Ward
Dausa,Bandikui,6,Ward
Dausa,Bandikui,7,Ward
Dausa,Bandikui,8,Ward
Dausa,Bandikui,9,Ward
Dausa,Bandikui,10,Ward
Dausa,Bandikui,11,Ward
Dausa,Bandikui,12,Ward
Dausa,Bandikui,13,Ward
Dausa,Bandikui,14,Ward
Dausa,Bandikui,15,Ward
Dausa,Bandikui,16,Ward
Dausa,Bandikui,17,Ward
Dausa,Bandikui,18,Ward
Dausa,Bandikui,19,Ward
Dausa,Bandikui,20,Ward
Dausa,Bandikui,21,Ward
Dausa,Bandikui,22,Ward
Dausa,Bandikui,23,Ward
Dausa,Bandikui,24,Ward
Dausa,Bandikui,25,Ward
Dausa,Bandikui,26,Ward
Dausa,Bandikui,27,Ward
Dausa,Bandikui,28,Ward
Dausa,Bandikui,29,Ward
Dausa,Bandikui,30,Ward
Dausa,Bandikui,31,Ward
Dausa,Bandikui,32,Ward
Dausa,Bandikui,33,Ward
Dausa,Bandikui,34,Ward
Dausa,Bandikui,35,Ward
Dausa,Bandikui,36,Ward
Dausa,Bandikui,37,Ward
Dausa,Bandikui,38,Ward
Dausa,Bandikui,39,Ward
Dausa,Bandikui,40,Ward
Dausa,Bassi,ANATPURA,Gram Panchayat
Dausa,Bassi,BADWA,Gram Panchayat
Dausa,Bassi,BAINADA,Gram Panchayat
Dausa,Bassi,BANSKHOH,Gram Panchayat
Dausa,Bassi,BARALA,Gram Panchayat
Dausa,Bassi,BHATERI,Gram Panchayat
Dausa,Bassi,BHOODLA,Gram Panchayat
Dausa,Bassi,BOODTHAL,Gram Panchayat
Dausa,Bassi,DANAU KALAN,Gram Panchayat
Dausa,Bassi,DEVGAON,Gram Panchayat
Dausa,Bassi,DOODHALI,Gram Panchayat
Dausa,Bassi,GARH,Gram Panchayat
Dausa,Bassi,GHATA,Gram Panchayat
Dausa,Bassi,HANS MAHAL,Gram Panchayat
Dausa,Bassi,HIMMATPURA,Gram Panchayat
Dausa,Bassi,JATWARA,Gram Panchayat
Dausa,Bassi,JEETAWALA,Gram Panchayat
Dausa,Bassi,JHAR,Gram Panchayat
Dausa,Bassi,KANOTA,Gram Panchayat
Dausa,Bassi,KARANGARH,Gram Panchayat
Dausa,Bassi,KASHIPURA,Gram Panchayat
Dausa,Bassi,KHATEPURA,Gram Panchayat
Dausa,Bassi,KHIJURIYA BRAHMNAN,Gram Panchayat
Dausa,Bassi,KHIJURIYA TIWADIYAN,Gram Panchayat
Dausa,Bassi,KHORI,Gram Panchayat
Dausa,Bassi,KISHANPURA,Gram Panchayat
Dausa,Bassi,KUTHADA KHURD,Gram Panchayat
Dausa,Bassi,LALGARH,Gram Panchayat
Dausa,Bassi,MADHOGARH,Gram Panchayat
Dausa,Bassi,MANGARH KHOKHAWALA,Gram Panchayat
Dausa,Bassi,MANOHARPURA,Gram Panchayat
Dausa,Bassi,MANSAR KHEDI,Gram Panchayat
Dausa,Bassi,MOHANPURA,Gram Panchayat
Dausa,Bassi,MUNDLI,Gram Panchayat
Dausa,Bassi,NAGRAJPURA,Gram Panchayat
Dausa,Bassi,PADASOLI,Gram Panchayat
Dausa,Bassi,PALAWALA JATAN,Gram Panchayat
Dausa,Bassi,PATAN,Gram Panchayat
Dausa,Bassi,PHALIYAWAS,Gram Panchayat
Dausa,Bassi,RAJPURA PATALWAS,Gram Panchayat
Dausa,Bassi,RAMRATANPURA,Gram Panchayat
Dausa,Bassi,RAMSAR PALAWALA,Gram Panchayat
Dausa,Bassi,SAMBHARIYA,Gram Panchayat
Dausa,Bassi,SHYAMPURA KACHOLIYA,Gram Panchayat
Dausa,Bassi,SINDOLI,Gram Panchayat
Dausa,Bassi,TAHTADA,Gram Panchayat
Dausa,Bassi,TODA BHATA,Gram Panchayat
Dausa,Bassi,TOONGA,Gram Panchayat
Dausa,Bassi,TOONGI,Gram Panchayat
Dausa,Bassi,UGAWAS,Gram Panchayat
Dausa,Bassi,UGAWAS,Gram Panchayat
Dausa,Bassi,VIJAI MUKUNDPURA,Gram Panchayat
Dausa,Bassi,NARPATPURA HARIPURA,Gram Panchayat
Dausa,Bassi,HARINARAYANPURA,Gram Panchayat
Dausa,Bassi,MAHADEVPURA,Gram Panchayat
Dausa,Bassi,NARPATPURA HARIPURA,Gram Panchayat
Dausa,Bassi,RUPAHEDI KALAN,Gram Panchayat
Dausa,Bassi,RUPAHEDI KHURD WITH BAPUGAON,Gram Panchayat
Dausa,Chaksu,AKODIYA,Gram Panchayat
Dausa,Chaksu,ANANDPURA,Gram Panchayat
Dausa,Chaksu,AZAMNAGAR,Gram Panchayat
Dausa,Chaksu,BADLI,Gram Panchayat
Dausa,Chaksu,BADODIYA,Gram Panchayat
Dausa,Chaksu,BARA PADAMPURA,Gram Panchayat
Dausa,Chaksu,BHOJYARA,Gram Panchayat
Dausa,Chaksu,CHANDLAI,Gram Panchayat
Dausa,Chaksu,CHHADEL KALAN,Gram Panchayat
Dausa,Chaksu,DAHAR,Gram Panchayat
Dausa,Chaksu,GIRDHARILAL PURA,Gram Panchayat
Dausa,Chaksu,KADERA,Gram Panchayat
Dausa,Chaksu,KAREDA KHURD,Gram Panchayat
Dausa,Chaksu,KOTHUN,Gram Panchayat
Dausa,Chaksu,KUMHARIYAWAS,Gram Panchayat
Dausa,Chaksu,LAXMIPURA / KATHAWALA,Gram Panchayat
Dausa,Chaksu,NIMODIYA,Gram Panchayat
Dausa,Chaksu,RAM NAGAR,Gram Panchayat
Dausa,Chaksu,SANWALIYA,Gram Panchayat
Dausa,Chaksu,SAWAI MADHOSINGH PURA,Gram Panchayat
Dausa,Chaksu,SEEMLIYAWAS WATIKA.,Gram Panchayat
Dausa,Chaksu,SHIVDASPURA,Gram Panchayat
Dausa,Chaksu,SURAJPURA TOOTOLI,Gram Panchayat
Dausa,Chaksu,TAMADIYA,Gram Panchayat
Dausa,Chaksu,THALI,Gram Panchayat
Dausa,Chaksu,TIGARIYA,Gram Panchayat
Dausa,Chaksu,TITARIYA,Gram Panchayat
Dausa,Chaksu,TOOMALI KA BAS,Gram Panchayat
Dausa,Chaksu,AJAYRAJPURA DEHLALA,Gram Panchayat
Dausa,Chaksu,AJMERIPURA,Gram Panchayat
Dausa,Chaksu,ANANDPURA,Gram Panchayat
Dausa,Chaksu,BADODIYA,Gram Panchayat
Dausa,Chaksu,BHOJYARA,Gram Panchayat
Dausa,Chaksu,GARUDWASI,Gram Panchayat
Dausa,Chaksu,JHAPADA KALAN,Gram Panchayat
Dausa,Chaksu,KHIRA RANI WAS,Gram Panchayat
Dausa,Chaksu,KOTKHAWDA,Gram Panchayat
Dausa,Chaksu,MANADALIYA MEIDA,Gram Panchayat
Dausa,Chaksu,NIMODIYA,Gram Panchayat
Dausa,Chaksu,RADOLI,Gram Panchayat
Dausa,Chaksu,RAM NAGAR,Gram Panchayat
Dausa,Chaksu,RUPAHEDI KHURD WITH BAPUGAON,Gram Panchayat
Dausa,Chaksu,THEEKRIYA GUJRAN,Gram Panchayat
Dausa,Chaksu,THEEKRIYA MEENAN,Gram Panchayat
Dausa,Chaksu,BEECHI,Gram Panchayat
Dausa,Chaksu,BHANKAROTA,Gram Panchayat
Dausa,Chaksu,CHANDAMA KALAN,Gram Panchayat
Dausa,Chaksu,CHITTORA,Gram Panchayat
Dausa,Chaksu,DABICH,Gram Panchayat
Dausa,Chaksu,DIDAWATA,Gram Panchayat
Dausa,Chaksu,DOSARA,Gram Panchayat
Dausa,Chaksu,GOHANDI,Gram Panchayat
Dausa,Chaksu,HARSULIYA,Gram Panchayat
Dausa,Chaksu,MADHORAJ PURA,Gram Panchayat
Dausa,Chaksu,MOHABBATPURA,Gram Panchayat
Dausa,Chaksu,MOHANPURA PRITHWISINGH,Gram Panchayat
Dausa,Chaksu,NARAYANPURA,Gram Panchayat
Dausa,Chaksu,PAHARIYA,Gram Panchayat
Dausa,Chaksu,PIPALA,Gram Panchayat
Dausa,Chaksu,RENWAL MAJI,Gram Panchayat
Dausa,Chaksu,1,Ward
Dausa,Chaksu,2,Ward
Dausa,Chaksu,3,Ward
Dausa,Chaksu,4,Ward
Dausa,Chaksu,5,Ward
Dausa,Chaksu,6,Ward
Dausa,Chaksu,7,Ward
Dausa,Chaksu,8,Ward
Dausa,Chaksu,9,Ward
Dausa,Chaksu,10,Ward
Dausa,Chaksu,11,Ward
Dausa,Chaksu,12,Ward
Dausa,Chaksu,13,Ward
Dausa,Chaksu,14,Ward
Dausa,Chaksu,15,Ward
Dausa,Chaksu,16,Ward
Dausa,Chaksu,17,Ward
Dausa,Chaksu,18,Ward
Dausa,Chaksu,19,Ward
Dausa,Chaksu,20,Ward
Dausa,Chaksu,21,Ward
Dausa,Chaksu,22,Ward
Dausa,Chaksu,23,Ward
Dausa,Chaksu,24,Ward
Dausa,Chaksu,25,Ward
Dausa,Chaksu,26,Ward
Dausa,Chaksu,27,Ward
Dausa,Chaksu,28,Ward
Dausa,Chaksu,29,Ward
Dausa,Chaksu,30,Ward
Dausa,Chaksu,31,Ward
Dausa,Chaksu,32,Ward
Dausa,Chaksu,33,Ward
Dausa,Chaksu,34,Ward
Dausa,Chaksu,35,Ward
Dausa,Dausa,BAPI,Gram Panchayat
Dausa,Dausa,BHANDANA,Gram Panchayat
Dausa,Dausa,BHANKRI,Gram Panchayat
Dausa,Dausa,CHANDARANA,Gram Panchayat
Dausa,Dausa,CHAWANDEDA,Gram Panchayat
Dausa,Dausa,CHAWANDHERA,Gram Panchayat
Dausa,Dausa,GANESHPURA,Gram Panchayat
Dausa,Dausa,HARIPURA,Gram Panchayat
Dausa,Dausa,JASOTA,Gram Panchayat
Dausa,Dausa,JIROTA KHURD,Gram Panchayat
Dausa,Dausa,JOPARA,Gram Panchayat
Dausa,Dausa,KHERWAL,Gram Panchayat
Dausa,Dausa,KHURI KALAN,Gram Panchayat
Dausa,Dausa,MAHANSARA KHURD,Gram Panchayat
Dausa,Dausa,MAHESHARA KALAN,Gram Panchayat
Dausa,Dausa,NANGAL BERSI,Gram Panchayat
Dausa,Dausa,SINGWARA,Gram Panchayat
Dausa,Dausa,SURAJPURA,Gram Panchayat
Dausa,Dausa,BANIYANA,Gram Panchayat
Dausa,Dausa,BHANDANA,Gram Panchayat
Dausa,Dausa,BOOTOLI,Gram Panchayat
Dausa,Dausa,DHIGARIYA,Gram Panchayat
Dausa,Dausa,DUGRAWATA,Gram Panchayat
Dausa,Dausa,HINGOTIYA,Gram Panchayat
Dausa,Dausa,KANWARPURA,Gram Panchayat
Dausa,Dausa,KHANPUR,Gram Panchayat
Dausa,Dausa,KHANWAS,Gram Panchayat
Dausa,Dausa,KHANWAS,Gram Panchayat
Dausa,Dausa,LAWAN,Gram Panchayat
Dausa,Dausa,NANGAL GOVIND,Gram Panchayat
Dausa,Dausa,RAJWAS,Gram Panchayat
Dausa,Dausa,SINGWARA,Gram Panchayat
Dausa,Dausa,THIKARIYA,Gram Panchayat
Dausa,Dausa,BAIJWARI,Gram Panchayat
Dausa,Dausa,BARAGAON,Gram Panchayat
Dausa,Dausa,CHHARERA,Gram Panchayat
Dausa,Dausa,CHURIYAWAS,Gram Panchayat
Dausa,Dausa,KALIKHAR,Gram Panchayat
Dausa,Dausa,LAHRI KA WAS,Gram Panchayat
Dausa,Dausa,MALAWAS,Gram Panchayat
Dausa,Dausa,MANPURIA,Gram Panchayat
Dausa,Dausa,NANGAL CHAPA,Gram Panchayat
Dausa,Dausa,NANGAL RAJAWATAN,Gram Panchayat
Dausa,Dausa,PYARIWAS,Gram Panchayat
Dausa,Dausa,THIKARIYA,Gram Panchayat
Dausa,Dausa,THOOMRI,Gram Panchayat
Dausa,Dausa,BAPI,Gram Panchayat
Dausa,Dausa,BAROLI,Gram Panchayat
Dausa,Dausa,BISHANPURA,Gram Panchayat
Dausa,Dausa,BORODA,Gram Panchayat
Dausa,Dausa,CHORDI,Gram Panchayat
Dausa,Dausa,KABLESHWAR,Gram Panchayat
Dausa,Dausa,KALIPAHARI,Gram Panchayat
Dausa,Dausa,KALOTA,Gram Panchayat
Dausa,Dausa,KUNDAL,Gram Panchayat
Dausa,Dausa,Neemali,Gram Panchayat
Dausa,Dausa,RAMPURA URF MAHARAJPURA,Gram Panchayat
Dausa,Dausa,SAINTHAL,Gram Panchayat
Dausa,Dausa,SINDOLI,Gram Panchayat
Dausa,Dausa,TITARWARA KALAN,Gram Panchayat
Dausa,Dausa,1,Ward
Dausa,Dausa,2,Ward
Dausa,Dausa,3,Ward
Dausa,Dausa,4,Ward
Dausa,Dausa,5,Ward
Dausa,Dausa,6,Ward
Dausa,Dausa,7,Ward
Dausa,Dausa,8,Ward
Dausa,Dausa,9,Ward
Dausa,Dausa,10,Ward
Dausa,Dausa,11,Ward
Dausa,Dausa,12,Ward
Dausa,Dausa,13,Ward
Dausa,Dausa,14,Ward
Dausa,Dausa,15,Ward
Dausa,Dausa,16,Ward
Dausa,Dausa,17,Ward
Dausa,Dausa,18,Ward
Dausa,Dausa,19,Ward
Dausa,Dausa,20,Ward
Dausa,Dausa,21,Ward
Dausa,Dausa,22,Ward
Dausa,Dausa,23,Ward
Dausa,Dausa,24,Ward
Dausa,Dausa,25,Ward
Dausa,Dausa,26,Ward
Dausa,Dausa,27,Ward
Dausa,Dausa,28,Ward
Dausa,Dausa,29,Ward
Dausa,Dausa,30,Ward
Dausa,Dausa,31,Ward
Dausa,Dausa,32,Ward
Dausa,Dausa,33,Ward
Dausa,Dausa,34,Ward
Dausa,Dausa,35,Ward
Dausa,Dausa,36,Ward
Dausa,Dausa,37,Ward
Dausa,Dausa,38,Ward
Dausa,Dausa,39,Ward
Dausa,Dausa,40,Ward
Dausa,Dausa,41,Ward
Dausa,Dausa,42,Ward
Dausa,Dausa,43,Ward
Dausa,Dausa,44,Ward
Dausa,Dausa,45,Ward
Dausa,Dausa,46,Ward
Dausa,Dausa,47,Ward
Dausa,Dausa,48,Ward
Dausa,Dausa,49,Ward
Dausa,Dausa,50,Ward
Dausa,Dausa,51,Ward
Dausa,Dausa,52,Ward
Dausa,Dausa,53,Ward
Dausa,Dausa,54,Ward
Dausa,Dausa,55,Ward
Dausa,Lalsot,BAGRI,Gram Panchayat
Dausa,Lalsot,BILONA KALAN,Gram Panchayat
Dausa,Lalsot,BILONA KHURD,Gram Panchayat
Dausa,Lalsot,CHANDSEN,Gram Panchayat
Dausa,Lalsot,DEOLI,Gram Panchayat
Dausa,Lalsot,DIDWANA,Gram Panchayat
Dausa,Lalsot,DIGO,Gram Panchayat
Dausa,Lalsot,DOB,Gram Panchayat
Dausa,Lalsot,GOL,Gram Panchayat
Dausa,Lalsot,INDAWA,Gram Panchayat
Dausa,Lalsot,KANKARIYA,Gram Panchayat
Dausa,Lalsot,KHATOOMBAR,Gram Panchayat
Dausa,Lalsot,KHATWA,Gram Panchayat
Dausa,Lalsot,KHEMAWAS,Gram Panchayat
Dausa,Lalsot,KHERLAKHURD,Gram Panchayat
Dausa,Lalsot,KISHORPURA,Gram Panchayat
Dausa,Lalsot,LADPURA,Gram Panchayat
Dausa,Lalsot,LAKHANPUR,Gram Panchayat
Dausa,Lalsot,LALPURA,Gram Panchayat
Dausa,Lalsot,MAHARAJPURA,Gram Panchayat
Dausa,Lalsot,MAHARIYA,Gram Panchayat
Dausa,Lalsot,MIRZAPURA,Gram Panchayat
Dausa,Lalsot,PATTI KISHORPURA,Gram Panchayat
Dausa,Lalsot,RAJOLI,Gram Panchayat
Dausa,Lalsot,SHREEMA,Gram Panchayat
Dausa,Lalsot,SHRI RAMPURA,Gram Panchayat
Dausa,Lalsot,SURATPUAR,Gram Panchayat
Dausa,Lalsot,TALABGAON,Gram Panchayat
Dausa,Lalsot,TODA THEKLA,Gram Panchayat
Dausa,Lalsot,CHONRIYAWAS,Gram Panchayat
Dausa,Lalsot,DAULAT PURA,Gram Panchayat
Dausa,Lalsot,HODAYLI,Gram Panchayat
Dausa,Lalsot,JHANPDA,Gram Panchayat
Dausa,Lalsot,MAHARAJPURA,Gram Panchayat
Dausa,Lalsot,NIRZHARNA,Gram Panchayat
Dausa,Lalsot,PATTI KISHORPURA,Gram Panchayat
Dausa,Lalsot,RATANPURA,Gram Panchayat
Dausa,Lalsot,SANWASA,Gram Panchayat
Dausa,Lalsot,SHIVSINGHPURA,Gram Panchayat
Dausa,Lalsot,SHYAMPURAKALAN,Gram Panchayat
Dausa,Lalsot,BHANWATA,Gram Panchayat
Dausa,Lalsot,DHOLAWAS,Gram Panchayat
Dausa,Lalsot,DOB,Gram Panchayat
Dausa,Lalsot,DUNGARPUR,Gram Panchayat
Dausa,Lalsot,GOPALPURA,Gram Panchayat
Dausa,Lalsot,JEETPUR,Gram Panchayat
Dausa,Lalsot,KALLAWASKHALSA,Gram Panchayat
Dausa,Lalsot,KALOOWAS,Gram Panchayat
Dausa,Lalsot,KHERLAKHURD,Gram Panchayat
Dausa,Lalsot,KOLIWARA,Gram Panchayat
Dausa,Lalsot,NAYABAS,Gram Panchayat
Dausa,Lalsot,PALUNDA,Gram Panchayat
Dausa,Lalsot,RAHUWAS,Gram Panchayat
Dausa,Lalsot,RALAWAS,Gram Panchayat
Dausa,Lalsot,SALEMPURA,Gram Panchayat
Dausa,Lalsot,AMRABAD,Gram Panchayat
Dausa,Lalsot,BEECHHA,Gram Panchayat
Dausa,Lalsot,BEEDOLI,Gram Panchayat
Dausa,Lalsot,BIDARKHA,Gram Panchayat
Dausa,Lalsot,GANGALYAWAS,Gram Panchayat
Dausa,Lalsot,HEMLYAWALA,Gram Panchayat
Dausa,Lalsot,JAGNER TURKAN,Gram Panchayat
Dausa,Lalsot,KUSHALPURA,Gram Panchayat
Dausa,Lalsot,NIZAMPURA,Gram Panchayat
Dausa,Lalsot,RAMGARHPACHWARA,Gram Panchayat
Dausa,Lalsot,RATANPURA,Gram Panchayat
Dausa,Lalsot,SONAR,Gram Panchayat
Banswara,Dungarpur,AMAJARA,Gram Panchayat
Banswara,Dungarpur,ASIYA BAO,Gram Panchayat
Banswara,Dungarpur,BAROTHI,Gram Panchayat
Banswara,Dungarpur,BHEANA,Gram Panchayat
Banswara,Dungarpur,BICHHIWARA,Gram Panchayat
Banswara,Dungarpur,BILPAN,Gram Panchayat
Banswara,Dungarpur,BOKHALA,Gram Panchayat
Banswara,Dungarpur,CHHAPI,Gram Panchayat
Banswara,Dungarpur,CHUNDAWARA,Gram Panchayat
Banswara,Dungarpur,DHAMLAT FALA,Gram Panchayat
Banswara,Dungarpur,DHAMOD,Gram Panchayat
Banswara,Dungarpur,GALANDAR,Gram Panchayat
Banswara,Dungarpur,GAMDI AHARA,Gram Panchayat
Banswara,Dungarpur,GED,Gram Panchayat
Banswara,Dungarpur,JALUKUA,Gram Panchayat
Banswara,Dungarpur,JELANA,Gram Panchayat
Banswara,Dungarpur,jheejhwa,Gram Panchayat
Banswara,Dungarpur,KANBA,Gram Panchayat
Banswara,Dungarpur,KARHAL MATA,Gram Panchayat
Banswara,Dungarpur,KAROLI,Gram Panchayat
Banswara,Dungarpur,KAWALIYA DARA,Gram Panchayat
Banswara,Dungarpur,KHAJURI,Gram Panchayat
Banswara,Dungarpur,LAMBA BHATRA,Gram Panchayat
Banswara,Dungarpur,MAHIPAL PURA,Gram Panchayat
Banswara,Dungarpur,MALMATHA,Gram Panchayat
Banswara,Dungarpur,MEWARA,Gram Panchayat
Banswara,Dungarpur,MODER,Gram Panchayat
Banswara,Dungarpur,NARELI,Gram Panchayat
Banswara,Dungarpur,NAVALSHYAM,Gram Panchayat
Banswara,Dungarpur,ODA BADA,Gram Panchayat
Banswara,Dungarpur,PADRADI,Gram Panchayat
Banswara,Dungarpur,PALI SORA,Gram Panchayat
Banswara,Dungarpur,PALPADAR,Gram Panchayat
Banswara,Dungarpur,panch mahudi,Gram Panchayat
Banswara,Dungarpur,RAMPUR MEWARA,Gram Panchayat
Banswara,Dungarpur,SABLI,Gram Panchayat
Banswara,Dungarpur,SANCHIYA,Gram Panchayat
Banswara,Dungarpur,SERAWARA,Gram Panchayat
Banswara,Dungarpur,SHARAM,Gram Panchayat
Banswara,Dungarpur,SHISOD,Gram Panchayat
Banswara,Dungarpur,TALLIYA,Gram Panchayat
Banswara,Dungarpur,VIRPUR,Gram Panchayat
Banswara,Dungarpur,ANTRI,Gram Panchayat
Banswara,Dungarpur,ASELA,Gram Panchayat
Banswara,Dungarpur,BAIYORA,Gram Panchayat
Banswara,Dungarpur,BALWARA,Gram Panchayat
Banswara,Dungarpur,BATKA PHALA,Gram Panchayat
Banswara,Dungarpur,BHATPUR,Gram Panchayat
Banswara,Dungarpur,BHATWADA,Gram Panchayat
Banswara,Dungarpur,BHOJATO KA ORA,Gram Panchayat
Banswara,Dungarpur,BILDI,Gram Panchayat
Banswara,Dungarpur,bori,Gram Panchayat
Banswara,Dungarpur,CHAK MAHURI,Gram Panchayat
Banswara,Dungarpur,DAMDI,Gram Panchayat
Banswara,Dungarpur,DEV SOMNATH,Gram Panchayat
Banswara,Dungarpur,DEVAL KHAS,Gram Panchayat
Banswara,Dungarpur,DHAWARI,Gram Panchayat
Banswara,Dungarpur,DOVDA,Gram Panchayat
Banswara,Dungarpur,DOZA,Gram Panchayat
Banswara,Dungarpur,FALOJ,Gram Panchayat
Banswara,Dungarpur,GAMDI DEVAL,Gram Panchayat
Banswara,Dungarpur,GARA MOREYA,Gram Panchayat
Banswara,Dungarpur,GENJI,Gram Panchayat
Banswara,Dungarpur,GHATAU,Gram Panchayat
Banswara,Dungarpur,GHUGHARA,Gram Panchayat
Banswara,Dungarpur,GUMANPURA,Gram Panchayat
Banswara,Dungarpur,HATHAI,Gram Panchayat
Banswara,Dungarpur,HIRATA,Gram Panchayat
Banswara,Dungarpur,KAHARI,Gram Panchayat
Banswara,Dungarpur,KANKARADARA,Gram Panchayat
Banswara,Dungarpur,KHEDA KACHHAWARA,Gram Panchayat
Banswara,Dungarpur,KHEMAROO,Gram Panchayat
Banswara,Dungarpur,KHEMPUR,Gram Panchayat
Banswara,Dungarpur,KHERWARA,Gram Panchayat
Banswara,Dungarpur,KOLKHANDA KHAS,Gram Panchayat
Banswara,Dungarpur,LOLAKPUR,Gram Panchayat
Banswara,Dungarpur,MADA,Gram Panchayat
Banswara,Dungarpur,MAHUDI,Gram Panchayat
Banswara,Dungarpur,MAJHOLA,Gram Panchayat
Banswara,Dungarpur,MANDAWA,Gram Panchayat
Banswara,Dungarpur,MANPUR,Gram Panchayat
Banswara,Dungarpur,MATHUGAMDA KHAS,Gram Panchayat
Banswara,Dungarpur,MATHUGAMDA PAL,Gram Panchayat
Banswara,Dungarpur,METALI,Gram Panchayat
Banswara,Dungarpur,NARANIYA,Gram Panchayat
Banswara,Dungarpur,ODWADIYA,Gram Panchayat
Banswara,Dungarpur,OONTIYA,Gram Panchayat
Banswara,Dungarpur,PAGARA,Gram Panchayat
Banswara,Dungarpur,PAL KOLKHANDA,Gram Panchayat
Banswara,Dungarpur,PAL MANDAV,Gram Panchayat
Banswara,Dungarpur,PAL VASSI,Gram Panchayat
Banswara,Dungarpur,PALDEVAL,Gram Panchayat
Banswara,Dungarpur,palgamdi,Gram Panchayat
Banswara,Dungarpur,PALVADA,Gram Panchayat
Banswara,Dungarpur,PANTLI,Gram Panchayat
Banswara,Dungarpur,PARDA MORU,Gram Panchayat
Banswara,Dungarpur,PIPLADA,Gram Panchayat
Banswara,Dungarpur,PUNALI,Gram Panchayat
Banswara,Dungarpur,RAGELA,Gram Panchayat
Banswara,Dungarpur,RAGHUNATHPURA,Gram Panchayat
Banswara,Dungarpur,RAMPUR SATI,Gram Panchayat
Banswara,Dungarpur,RENTA,Gram Panchayat
Banswara,Dungarpur,ROHAN WADA,Gram Panchayat
Banswara,Dungarpur,SALAJ,Gram Panchayat
Banswara,Dungarpur,SATTU,Gram Panchayat
Banswara,Dungarpur,SAVGADH,Gram Panchayat
Banswara,Dungarpur,SIDRI KHERWARA,Gram Panchayat
Banswara,Dungarpur,SUNDERPUR,Gram Panchayat
Banswara,Dungarpur,SURPUR,Gram Panchayat
Banswara,Dungarpur,TADI OBARI,Gram Panchayat
Banswara,Dungarpur,THANA,Gram Panchayat
Banswara,Dungarpur,UPARGAON,Gram Panchayat
Banswara,Dungarpur,VAGADARI,Gram Panchayat
Banswara,Dungarpur,VALOTA,Gram Panchayat
Banswara,Dungarpur,VASSI,Gram Panchayat
Banswara,Dungarpur,vasuwa,Gram Panchayat
Banswara,Dungarpur,VIKASNAGAR,Gram Panchayat
Banswara,Dungarpur,1,Ward
Banswara,Dungarpur,2,Ward
Banswara,Dungarpur,3,Ward
Banswara,Dungarpur,4,Ward
Banswara,Dungarpur,5,Ward
Banswara,Dungarpur,6,Ward
Banswara,Dungarpur,7,Ward
Banswara,Dungarpur,8,Ward
Banswara,Dungarpur,9,Ward
Banswara,Dungarpur,10,Ward
Banswara,Dungarpur,11,Ward
Banswara,Dungarpur,12,Ward
Banswara,Dungarpur,13,Ward
Banswara,Dungarpur,14,Ward
Banswara,Dungarpur,15,Ward
Banswara,Dungarpur,16,Ward
Banswara,Dungarpur,17,Ward
Banswara,Dungarpur,18,Ward
Banswara,Dungarpur,19,Ward
Banswara,Dungarpur,20,Ward
Banswara,Dungarpur,21,Ward
Banswara,Dungarpur,22,Ward
Banswara,Dungarpur,23,Ward
Banswara,Dungarpur,24,Ward
Banswara,Dungarpur,25,Ward
Banswara,Dungarpur,26,Ward
Banswara,Dungarpur,27,Ward
Banswara,Dungarpur,28,Ward
Banswara,Dungarpur,29,Ward
Banswara,Dungarpur,30,Ward
Banswara,Dungarpur,31,Ward
Banswara,Dungarpur,32,Ward
Banswara,Dungarpur,33,Ward
Banswara,Dungarpur,34,Ward
Banswara,Dungarpur,35,Ward
Banswara,Dungarpur,36,Ward
Banswara,Dungarpur,37,Ward
Banswara,Dungarpur,38,Ward
Banswara,Dungarpur,39,Ward
Banswara,Dungarpur,40,Ward
Banswara,Garhi,ANJANA,Gram Panchayat
Banswara,Garhi,ARTHUNA,Gram Panchayat
Banswara,Garhi,BASSI MOTI,Gram Panchayat
Banswara,Garhi,BHATAR,Gram Panchayat
Banswara,Garhi,BILODA,Gram Panchayat
Banswara,Garhi,GAMARI NARAYAN,Gram Panchayat
Banswara,Garhi,GHANEVA,Gram Panchayat
Banswara,Garhi,GUSAI KA PARDA,Gram Panchayat
Banswara,Garhi,ITAUWA,Gram Panchayat
Banswara,Garhi,JHADAS,Gram Panchayat
Banswara,Garhi,JOLANA,Gram Panchayat
